yearID,name,Division,Rank,Games,Wins,Losses,Division winner,League winner,World series winner,Runs scored,At bats,Hits by batters,Doubles,Triples,Homeruns,Walks,Strikeouts,Stolen bases,Cought stealing,Batters hit by pitch,Sacrifice flies,Opponents runs scored,Earned runs allowed,Earned runs average,Shutouts,Saves,Hits allowed,Homeruns allowed,Walks allowed,Strikeouts allowed,Errors,Double plays,Fielding percentage
1985,Atlanta Braves,W,5,162,66,96,N,N,N,632,5526,1359,213,28,126,553.0,849.0,72.0,52.0,22.0,41.0,781,679,4.19,9,29,1512,134,642,776,159,197,0.976
1985,Baltimore Orioles,E,4,161,83,78,N,N,N,818,5517,1451,234,22,214,604.0,908.0,69.0,43.0,19.0,40.0,764,694,4.38,6,33,1480,160,568,793,129,168,0.9790000000000001
1985,California Angels,W,2,162,90,72,N,N,N,732,5442,1364,215,31,153,648.0,902.0,106.0,51.0,39.0,35.0,703,633,3.91,8,41,1453,171,514,767,112,202,0.982
1985,Chicago White Sox,W,3,163,85,77,N,N,N,736,5470,1386,247,37,146,471.0,843.0,108.0,56.0,43.0,45.0,720,656,4.07,8,39,1411,161,569,1023,111,152,0.982
1985,Cincinnati Reds,W,2,162,89,72,N,N,N,677,5431,1385,249,34,114,576.0,856.0,159.0,70.0,23.0,41.0,666,598,3.71,11,45,1347,131,535,910,122,142,0.98
1985,Detroit Tigers,E,3,161,84,77,N,N,N,729,5575,1413,254,45,202,526.0,926.0,75.0,41.0,27.0,53.0,688,612,3.78,11,40,1313,141,556,943,143,152,0.977
1985,Kansas City Royals,W,1,162,91,71,Y,Y,Y,687,5500,1384,261,49,154,473.0,840.0,128.0,48.0,36.0,41.0,639,566,3.49,11,41,1433,103,463,846,127,160,0.98
1985,Los Angeles Dodgers,W,1,162,95,67,Y,N,N,682,5502,1434,226,28,129,539.0,846.0,136.0,58.0,31.0,46.0,579,482,2.96,21,36,1280,102,462,979,166,131,0.9740000000000001
1985,Minnesota Twins,W,4,162,77,85,N,N,N,705,5509,1453,282,41,141,502.0,779.0,68.0,44.0,31.0,47.0,782,710,4.48,7,34,1468,164,462,767,120,139,0.98
1985,Milwaukee Brewers,E,6,161,71,90,N,N,N,690,5568,1467,250,44,101,462.0,746.0,69.0,34.0,19.0,55.0,802,701,4.39,5,37,1510,175,499,777,142,153,0.977
1985,Montreal Expos,E,3,161,84,77,N,N,N,633,5429,1342,242,49,118,492.0,880.0,169.0,77.0,26.0,45.0,636,574,3.55,13,53,1346,99,509,870,121,152,0.981
1985,New York Mets,E,2,162,98,64,N,N,N,695,5549,1425,239,35,134,546.0,872.0,117.0,53.0,20.0,44.0,568,514,3.11,19,37,1306,111,515,1039,115,138,0.982
1985,Oakland Athletics,W,4,162,77,85,N,N,N,757,5581,1475,230,34,155,508.0,861.0,117.0,58.0,16.0,47.0,787,712,4.41,6,41,1451,172,607,785,140,137,0.977
1985,San Diego Padres,W,3,162,83,79,N,N,N,650,5507,1405,241,28,109,513.0,809.0,60.0,39.0,23.0,32.0,622,549,3.4,19,44,1399,127,443,727,124,158,0.98
1985,Seattle Mariners,W,6,162,74,88,N,N,N,719,5521,1410,277,38,171,564.0,942.0,94.0,35.0,31.0,41.0,818,744,4.68,8,30,1456,154,637,868,122,156,0.98
1985,San Francisco Giants,W,6,162,62,100,N,N,N,556,5420,1263,217,31,115,488.0,962.0,99.0,55.0,37.0,25.0,674,581,3.61,5,24,1348,125,572,985,148,134,0.976
1985,Texas Rangers,W,7,161,62,99,N,N,N,617,5361,1359,213,41,129,530.0,819.0,130.0,76.0,33.0,45.0,785,715,4.56,5,33,1479,173,501,863,120,145,0.98
1985,Toronto Blue Jays,E,1,161,99,62,Y,N,N,759,5508,1482,281,53,158,503.0,807.0,144.0,77.0,30.0,44.0,588,532,3.31,9,47,1312,147,484,823,125,164,0.98
1986,Atlanta Braves,W,6,161,72,89,N,N,N,615,5384,1348,241,24,138,538.0,904.0,93.0,76.0,24.0,42.0,719,629,3.97,5,39,1443,117,576,932,141,181,0.978
1986,Baltimore Orioles,E,7,162,73,89,N,N,N,708,5524,1425,223,13,169,563.0,862.0,64.0,34.0,31.0,51.0,760,687,4.3,6,39,1451,177,535,954,135,163,0.978
1986,California Angels,W,1,162,92,70,Y,N,N,786,5433,1387,236,36,167,671.0,860.0,109.0,42.0,40.0,61.0,684,621,3.84,12,40,1356,153,478,955,107,156,0.983
1986,Chicago White Sox,W,5,162,72,90,N,N,N,644,5406,1335,197,34,121,487.0,940.0,115.0,54.0,34.0,53.0,699,630,3.93,8,38,1361,143,561,895,117,142,0.981
1986,Cincinnati Reds,W,2,162,86,76,N,N,N,732,5536,1404,237,35,144,586.0,920.0,177.0,53.0,18.0,41.0,717,638,3.91,8,45,1465,136,524,924,140,160,0.978
1986,Detroit Tigers,E,3,162,87,75,N,N,N,798,5512,1447,234,30,198,613.0,885.0,138.0,58.0,43.0,49.0,714,645,4.02,12,38,1374,183,571,880,108,163,0.982
1986,Kansas City Royals,W,3,162,76,86,N,N,N,654,5561,1403,264,45,137,474.0,919.0,97.0,46.0,36.0,33.0,673,612,3.82,13,31,1413,121,479,888,123,153,0.98
1986,Los Angeles Dodgers,W,5,162,73,89,N,N,N,638,5471,1373,232,14,130,478.0,966.0,155.0,67.0,32.0,39.0,679,608,3.76,14,25,1428,115,499,1051,181,118,0.971
1986,Minnesota Twins,W,6,162,71,91,N,N,N,741,5531,1446,257,39,196,501.0,977.0,81.0,61.0,37.0,38.0,839,759,4.77,6,24,1579,200,503,937,118,168,0.98
1986,Milwaukee Brewers,E,6,161,77,84,N,N,N,667,5461,1393,255,38,127,530.0,986.0,100.0,50.0,27.0,53.0,734,638,4.01,12,32,1478,158,494,952,146,146,0.976
1986,Montreal Expos,E,4,161,78,83,N,N,N,637,5508,1401,255,50,110,537.0,1016.0,193.0,95.0,33.0,42.0,688,616,3.78,9,50,1350,119,566,1051,133,132,0.9790000000000001
1986,New York Mets,E,1,162,108,54,Y,Y,Y,783,5558,1462,261,31,148,631.0,968.0,118.0,48.0,31.0,53.0,578,513,3.11,11,46,1304,103,509,1083,138,145,0.978
1986,Oakland Athletics,W,3,162,76,86,N,N,N,731,5435,1370,213,25,163,553.0,983.0,139.0,61.0,32.0,51.0,760,686,4.31,8,37,1334,166,667,937,135,120,0.978
1986,San Diego Padres,W,4,162,74,88,N,N,N,656,5515,1442,239,25,136,484.0,917.0,96.0,68.0,18.0,35.0,723,640,3.99,7,32,1406,150,607,934,137,135,0.978
1986,Seattle Mariners,W,7,162,67,95,N,N,N,718,5498,1392,243,41,158,572.0,1148.0,93.0,76.0,34.0,29.0,835,744,4.65,5,27,1590,171,585,944,156,191,0.975
1986,San Francisco Giants,W,3,162,83,79,N,N,N,698,5501,1394,269,29,114,536.0,1087.0,148.0,93.0,37.0,34.0,618,541,3.33,10,35,1264,121,591,992,143,149,0.977
1986,Texas Rangers,W,2,162,87,75,N,N,N,771,5529,1479,248,43,184,511.0,1088.0,103.0,85.0,35.0,42.0,743,662,4.11,8,41,1356,145,736,1059,122,160,0.98
1986,Toronto Blue Jays,E,4,163,86,76,N,N,N,809,5716,1540,285,35,181,496.0,848.0,110.0,59.0,33.0,49.0,733,669,4.08,12,44,1467,164,487,1002,100,150,0.9840000000000001
1987,Atlanta Braves,W,5,161,69,92,N,N,N,747,5428,1401,284,24,152,641.0,834.0,135.0,68.0,38.0,34.0,829,734,4.63,4,32,1529,163,587,837,116,170,0.982
1987,Baltimore Orioles,E,6,162,67,95,N,N,N,729,5576,1437,219,20,211,524.0,939.0,69.0,45.0,22.0,32.0,880,801,5.01,6,30,1555,226,547,870,111,174,0.982
1987,California Angels,W,6,162,75,87,N,N,N,770,5570,1406,257,26,172,590.0,926.0,125.0,44.0,35.0,36.0,803,709,4.38,7,36,1481,212,504,941,117,162,0.981
1987,Chicago White Sox,W,5,162,77,85,N,N,N,748,5538,1427,283,36,173,487.0,971.0,138.0,52.0,33.0,52.0,746,691,4.3,12,37,1436,189,537,792,116,174,0.981
1987,Cincinnati Reds,W,2,162,84,78,N,N,N,783,5560,1478,262,29,192,514.0,928.0,169.0,46.0,31.0,34.0,752,685,4.24,6,44,1486,170,485,919,130,137,0.9790000000000001
1987,Detroit Tigers,E,1,162,98,64,Y,N,N,896,5649,1535,274,32,225,653.0,913.0,106.0,50.0,46.0,56.0,735,651,4.02,10,31,1430,180,563,976,122,147,0.98
1987,Kansas City Royals,W,2,162,83,79,N,N,N,715,5499,1443,239,40,168,523.0,1034.0,125.0,43.0,30.0,42.0,691,610,3.86,11,26,1424,128,548,923,131,151,0.9790000000000001
1987,Los Angeles Dodgers,W,4,162,73,89,N,N,N,635,5517,1389,236,23,125,445.0,923.0,128.0,59.0,31.0,39.0,675,601,3.72,8,32,1415,130,565,1097,155,144,0.975
1987,Minnesota Twins,W,1,162,85,77,Y,Y,Y,786,5441,1422,258,35,196,523.0,898.0,113.0,65.0,38.0,39.0,806,734,4.63,4,39,1465,210,564,990,98,147,0.9840000000000001
